dataset,split,method,seeds,n,average_dice_mean,average_dice_std,average_iou_mean,average_iou_std,worst_client_dice_mean,worst_client_dice_std,client_dice_std_mean,client_dice_std_std,best_worst_gap_mean,best_worst_gap_std,total_uploaded_mb_mean,communication_reduction_percent_mean
busi,hard_noniid,fedprox,42|123|2025,3,0.5548025592,0.0343677222,0.4169738938,0.0319611164,0.4883313838,0.0178360582,0.0570234913,0.0438642621,0.1392170311,0.1071147543,3.373832703,0
busi,hard_noniid,wca_comfedseg_prox,42|123|2025,3,0.5332331774,0.0323560835,0.3941941405,0.0319917232,0.4556789957,0.0661104181,0.0586199363,0.0344385302,0.135549112,0.0820118424,3.373832703,0
kvasir_seg,hard_noniid,fedbn,42|123|2025,3,0.5235634621,0.0246521499,0.3865503249,0.0264852879,0.3782263095,0.0225692491,0.1098823556,0.007021565,0.2572543423,0.0350703879,3.373832703,0
kvasir_seg,hard_noniid,wca_comfedseg_bn,42|123|2025,3,0.5496064055,0.0144676624,0.4096401811,0.0171479337,0.4255087541,0.0503763322,0.1025819546,0.0284019648,0.2362286131,0.0579852633,3.373832703,0
