method,source_phase,dataset,split,seed,rounds,local_epochs,batch_size,image_size,number_of_clients,average_dice,average_iou,worst_client_id,worst_client_dice,best_client_dice,client_dice_std,best_worst_gap,average_loss,total_uploaded_mb,communication_reduction_vs_full_participation_percent,communication_log_path,summary_path,metrics_path
fedbn,phase5s,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.5075977849,0.3840792838,1,0.3682568351,0.7554613948,0.1757170426,0.3872045596,1.0887136471,3.3738327026,0,,results\logs\phase5s_bus_uclm_wca_bn_scoped_pilot\20260607_013646_fedbn_bus_uclm_moderate_noniid_seed42\summary.json,results\logs\phase5s_bus_uclm_wca_bn_scoped_pilot\20260607_013646_fedbn_bus_uclm_moderate_noniid_seed42\metrics.csv
wca_comfedseg_bn,phase5s,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.459296347,0.3331789192,1,0.3320273717,0.6560921886,0.1411382071,0.3240648169,1.1096896617,3.3738327026,0,,results\logs\phase5s_bus_uclm_wca_bn_scoped_pilot\20260607_014026_wca_comfedseg_bn_bus_uclm_moderate_noniid_seed42\summary.json,results\logs\phase5s_bus_uclm_wca_bn_scoped_pilot\20260607_014026_wca_comfedseg_bn_bus_uclm_moderate_noniid_seed42\metrics.csv
wca_comfedseg_comm,phase5q_reference,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.4640348511,0.3514887324,1,0.2566696684,0.8201390396,0.2529385986,0.5634693713,1.1983962902,2.3616828918,30,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\communication_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42.csv,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\summary.json,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\metrics.csv
