method,dataset,split,seed,rounds,local_epochs,batch_size,image_size,number_of_clients,average_dice,average_iou,worst_client_id,worst_client_dice,best_client_dice,client_dice_std,best_worst_gap,average_loss,total_uploaded_mb,communication_reduction_vs_full_participation_percent,csv_log_path,communication_log_path,summary_path,method_role,include_in_main_table
fedavg,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.4560599116,0.3368513223,0,0.2943584104,0.778358855,0.2279002142,0.4840004446,1.1573451234,3.3738327026,0,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_004536_fedavg_bus_uclm_moderate_noniid_seed42\metrics.csv,,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_004536_fedavg_bus_uclm_moderate_noniid_seed42\summary.json,required_baseline,True
fedprox,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.4858759081,0.3574938181,1,0.3280969858,0.7747077075,0.2045261623,0.4466107217,1.1266083243,3.3738327026,0,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_004923_fedprox_bus_uclm_moderate_noniid_seed42\metrics.csv,,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_004923_fedprox_bus_uclm_moderate_noniid_seed42\summary.json,required_baseline,True
fedbn,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.5075977849,0.3840792838,1,0.3682568351,0.7554613948,0.1757170426,0.3872045596,1.0887136471,3.3738327026,0,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005311_fedbn_bus_uclm_moderate_noniid_seed42\metrics.csv,,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005311_fedbn_bus_uclm_moderate_noniid_seed42\summary.json,required_baseline,True
wca_comfedseg_comm,bus_uclm,moderate_noniid,42,10,2,4,128,3,0.4640348511,0.3514887324,1,0.2566696684,0.8201390396,0.2529385986,0.5634693713,1.1983962902,2.3616828918,30,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\metrics.csv,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\communication_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42.csv,results\logs\phase5q_bus_uclm_moderate_pilot\20260607_005616_wca_comfedseg_comm_bus_uclm_moderate_noniid_seed42\summary.json,communication_efficient_moderate_noniid_candidate,True
