method,average_dice_mean,average_dice_std,worst_client_dice_mean,worst_client_dice_std,best_worst_gap_mean,best_worst_gap_std,total_uploaded_mb_mean,communication_reduction_percent_mean
FedAvg,0.5105412142,0.0185719811,0.4630906971,0.0254544604,0.0822316455,0.0528152179,3.373832703,0
FedProx,0.5112174573,0.0231768453,0.4633160321,0.0205231209,0.089211309,0.039642326,3.373832703,0
FedBN,0.5006429856,0.0172791161,0.4449543966,0.038428248,0.111832826,0.0255194857,3.373832703,0
WCA-Comm,0.5274534741,0.0265356318,0.4973911443,0.0260120489,0.0580130207,0.0108734471,2.3616828918,30
