dataset,split,method,seeds,n,average_dice_mean,average_dice_std,average_iou_mean,average_iou_std,worst_client_dice_mean,worst_client_dice_std,client_dice_std_mean,client_dice_std_std,best_worst_gap_mean,best_worst_gap_std,total_uploaded_mb_mean,communication_reduction_percent_mean
busi,moderate_noniid,fedavg,42|123|2025,3,0.5105412142,0.0185719811,0.3718093851,0.0159062707,0.4630906971,0.0254544604,0.0364189072,0.0225496874,0.0822316455,0.0528152179,3.373832703,0
busi,moderate_noniid,fedprox,42|123|2025,3,0.5112174573,0.0231768453,0.3719580438,0.0205952634,0.4633160321,0.0205231209,0.0373391466,0.0165521441,0.089211309,0.039642326,3.373832703,0
busi,moderate_noniid,fedbn,42|123|2025,3,0.5006429856,0.0172791161,0.3737174343,0.00892064,0.4449543966,0.038428248,0.0485926535,0.0104856824,0.111832826,0.0255194857,3.373832703,0
busi,moderate_noniid,wca_comfedseg_comm,42|123|2025,3,0.5274534741,0.0265356318,0.3901852953,0.0223422576,0.4973911443,0.0260120489,0.0257497184,0.0054761773,0.0580130207,0.0108734471,2.3616828918,30
kvasir_seg,moderate_noniid,fedavg,42|123|2025,3,0.4630014699,0.0202024123,0.3319193948,0.0166759762,0.2744163907,0.0326217137,0.1476223665,0.0134987369,0.3600414359,0.0343931434,3.373832703,0
kvasir_seg,moderate_noniid,fedprox,42|123|2025,3,0.4695025097,0.0183626419,0.3379526502,0.0161377735,0.2845951195,0.0308330402,0.1428648218,0.0136167773,0.3474416609,0.0351409008,3.373832703,0
kvasir_seg,moderate_noniid,fedbn,42|123|2025,3,0.4987079702,0.0865429707,0.3658287006,0.0748036039,0.3947800254,0.1068055121,0.0906259244,0.0239108328,0.2131164471,0.0600141335,3.373832703,0
kvasir_seg,moderate_noniid,wca_comfedseg_comm,42|123|2025,3,0.4474120163,0.0159557117,0.3169251543,0.0120413245,0.312272643,0.0457377766,0.0995484954,0.0333207078,0.2289331411,0.0928103271,2.3616828918,30
